MatchId,Mode,MapName,Round,Seats,SeatIndex,BotKey,BotName,Creator,Opponents,TurnsPlayed,TimedOut,Failed,Placement,Win,TimeoutWin,Draw,Loss,Survived,EndHealth,ShotsFired,HitsLanded,DamageDealt,DamageTaken,Eliminations,Deaths,TurnsAlive
78e6e9df-90a2-4eb7-a4f2-2486a09b68f9,Duel,Het kanaal,7,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,18,False,False,2,False,False,False,True,False,0,17,1,75,100,0,1,17
7998d5ec-58b8-4c67-8adb-810b90c4ea6b,Duel,Four Corners,11,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
7998d5ec-58b8-4c67-8adb-810b90c4ea6b,Duel,Four Corners,11,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
4a436932-4b58-4938-8a74-edd294d72631,Duel,Four Corners,11,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
4a436932-4b58-4938-8a74-edd294d72631,Duel,Four Corners,11,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
6225bbec-3626-4dfc-8a2c-56644e5b6299,Duel,Four Corners,10,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
6225bbec-3626-4dfc-8a2c-56644e5b6299,Duel,Four Corners,10,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
a632f76a-55f5-46ef-a26b-4c3c2aca2ce2,Duel,Four Corners,10,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
a632f76a-55f5-46ef-a26b-4c3c2aca2ce2,Duel,Four Corners,10,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
3bb1d04b-a2ec-4f3e-8ece-120f0c8dcc23,Duel,Four Corners,9,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
3bb1d04b-a2ec-4f3e-8ece-120f0c8dcc23,Duel,Four Corners,9,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
87d9a9dc-c7b1-44f7-8329-09c8c9524344,Duel,Four Corners,9,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
87d9a9dc-c7b1-44f7-8329-09c8c9524344,Duel,Four Corners,9,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
3b0834bb-bf2f-4079-8f9a-46e030c16415,Duel,Four Corners,8,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,False,True,False,True,100,149,0,0,0,0,0,150
3b0834bb-bf2f-4079-8f9a-46e030c16415,Duel,Four Corners,8,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,True,False,True,100,149,0,0,0,0,0,150
5e19ca9b-caa6-4898-9fa4-897a85f40ffa,Duel,Four Corners,8,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,OlivierBot,150,True,False,2,False,False,False,True,True,25,149,0,0,75,0,0,150
5e19ca9b-caa6-4898-9fa4-897a85f40ffa,Duel,Four Corners,8,2,1,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
c7edd7bf-80cc-4911-9d66-a85c0e36885a,Duel,Four Corners,7,2,0,Olivier.Bot.OlivierBot,OlivierBot,The Ultimate Champion,KingArthur,150,True,False,1,False,True,False,False,True,100,149,1,75,0,0,0,150
