BotName,Opponent,MapName,Matches,Wins,TimeoutWins,Draws,Losses,WinRate,EffectiveWinRate,DamageDealt,DamageTaken,DamageDelta
KingArthur,BlitzKriegBot,Oasis Cross,24,13,0,4,7,0.5417,0.5667,2225,1775,450
KingArthur,BlitzKriegBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BlitzKriegBot,The void,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
KingArthur,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BunnyBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BunnyBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BunnyBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BunnyBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,BunnyBot,The void,24,4,0,20,0,0.1667,0.2917,200,0,200
KingArthur,BunnyBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,Lightning McQueen,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,Lightning McQueen,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,400,-400
KingArthur,Lightning McQueen,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,Lightning McQueen,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,Lightning McQueen,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,Lightning McQueen,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,OlivierBot,Four Corners,24,0,0,11,13,0.0000,0.0688,0,975,-975
KingArthur,OlivierBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,OlivierBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
KingArthur,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,SchwarzeneggerBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,SchwarzeneggerBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,SchwarzeneggerBot,Oasis Cross,24,0,0,12,12,0.0000,0.0750,600,1200,-600
KingArthur,SchwarzeneggerBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,SchwarzeneggerBot,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,SchwarzeneggerBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,A Super Robot,Four Corners,24,0,0,17,7,0.0000,0.1063,525,700,-175
Lightning McQueen,A Super Robot,Het kanaal,24,5,0,19,0,0.2083,0.3271,500,0,500
Lightning McQueen,A Super Robot,Oasis Cross,24,23,0,0,1,0.9583,0.9583,2375,325,2050
Lightning McQueen,A Super Robot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,A Super Robot,The void,24,3,0,21,0,0.1250,0.2563,200,225,-25
Lightning McQueen,A Super Robot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BlitzKriegBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BlitzKriegBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BlitzKriegBot,Oasis Cross,24,6,0,14,4,0.2500,0.3375,900,400,500
Lightning McQueen,BlitzKriegBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BlitzKriegBot,The void,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
Lightning McQueen,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BunnyBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BunnyBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BunnyBot,Oasis Cross,24,0,12,12,0,0.0000,0.3750,900,0,900
Lightning McQueen,BunnyBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,BunnyBot,The void,24,5,0,19,0,0.2083,0.3271,300,0,300
Lightning McQueen,BunnyBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,KingArthur,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,KingArthur,Het kanaal,24,0,0,24,0,0.0000,0.1500,400,400,0
Lightning McQueen,KingArthur,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,KingArthur,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,KingArthur,The void,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,KingArthur,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,OlivierBot,Four Corners,24,0,0,0,24,0.0000,0.0000,0,2400,-2400
Lightning McQueen,OlivierBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,OlivierBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
Lightning McQueen,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
Lightning McQueen,SchwarzeneggerBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
